id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
37702,咸阳,2015年08月历史天气,31℃,19℃,37℃,15℃,0,0,08/01,0,08/01
37703,咸阳,2015年07月历史天气,33℃,21℃,38℃,17℃,0,0,07/01,0,07/01
37704,咸阳,2015年06月历史天气,28℃,18℃,35℃,13℃,0,0,06/01,0,06/01
37705,咸阳,2015年05月历史天气,26℃,14℃,33℃,7℃,0,0,05/01,0,05/01
37706,咸阳,2015年04月历史天气,20℃,9℃,31℃,1℃,0,0,04/01,0,04/01
37707,咸阳,2015年03月历史天气,14℃,3℃,25℃,-3℃,0,0,03/01,0,03/01
37708,咸阳,2015年02月历史天气,8℃,-1℃,16℃,-5℃,0,0,02/01,0,02/01
37709,咸阳,2015年01月历史天气,6℃,-4℃,11℃,-8℃,0,0,01/01,0,01/01
37710,咸阳,2014年12月历史天气,6℃,-4℃,13℃,-9℃,0,0,12/01,0,12/01
37711,咸阳,2014年11月历史天气,12℃,2℃,17℃,-2℃,0,0,11/01,0,11/01
37712,咸阳,2014年10月历史天气,20℃,10℃,26℃,5℃,0,0,10/01,0,10/01
37713,咸阳,2014年09月历史天气,22℃,15℃,29℃,12℃,0,0,09/01,0,09/01
37714,咸阳,2014年08月历史天气,28℃,19℃,36℃,16℃,0,0,08/01,0,08/01
37715,咸阳,2014年07月历史天气,33℃,22℃,37℃,19℃,0,0,07/01,0,07/01
37716,咸阳,2014年06月历史天气,30℃,18℃,37℃,16℃,0,0,06/01,0,06/01
37717,咸阳,2014年05月历史天气,25℃,13℃,32℃,8℃,0,0,05/01,0,05/01
37718,咸阳,2014年04月历史天气,20℃,9℃,26℃,6℃,0,0,04/01,0,04/01
37719,咸阳,2014年03月历史天气,16℃,4℃,25℃,-2℃,0,0,03/01,0,03/01
37720,咸阳,2014年02月历史天气,5℃,-2℃,13℃,-7℃,0,0,02/01,0,02/01
37721,咸阳,2014年01月历史天气,7℃,-4℃,15℃,-8℃,0,0,01/01,0,01/01
37722,咸阳,2013年12月历史天气,7℃,-4℃,14℃,-10℃,0,0,12/01,0,12/01
37723,咸阳,2013年11月历史天气,12℃,1℃,17℃,-5℃,0,0,11/01,0,11/01
37724,咸阳,2013年10月历史天气,22℃,10℃,29℃,5℃,0,0,10/01,0,10/01
37725,咸阳,2013年09月历史天气,26℃,16℃,34℃,9℃,0,0,09/01,0,09/01
37726,咸阳,2013年08月历史天气,32℃,22℃,37℃,16℃,0,0,08/01,0,08/01
37727,咸阳,2013年07月历史天气,31℃,22℃,35℃,20℃,0,0,07/01,0,07/01
37728,咸阳,2013年06月历史天气,32℃,19℃,37℃,12℃,0,0,06/01,0,06/01
37729,咸阳,2013年05月历史天气,27℃,15℃,35℃,10℃,0,0,05/01,0,05/01
37730,咸阳,2013年04月历史天气,23℃,8℃,32℃,1℃,0,0,04/01,0,04/01
37731,咸阳,2013年03月历史天气,19℃,4℃,26℃,-1℃,0,0,03/01,0,03/01
37732,咸阳,2013年02月历史天气,9℃,-1℃,16℃,-4℃,0,0,02/01,0,02/01
37733,咸阳,2013年01月历史天气,6℃,-5℃,12℃,-10℃,0,0,01/01,0,01/01
37734,咸阳,2012年12月历史天气,4℃,-4℃,11℃,-11℃,0,0,12/01,0,12/01
37735,咸阳,2012年11月历史天气,11℃,0℃,18℃,-5℃,0,0,11/01,0,11/01
